business_id,name,primary_category,categories,city,price_range,avg_rating,review_count
cdsxkycC_xrXlOdsm5yZUw,Nunzio's Pizzeria,Pizza,"Restaurants, Pizza",Cleveland,2,3.3333333333333335,9
XUA7xA7myMaCuN6G3xYdIA,Number One Pho,Vietnamese,"Vietnamese, Restaurants",Cleveland,2,3.2142857142857144,84
YVkcZQEfH0qQRtN86CoSDQ,Batuqui,Brazilian,"Brazilian, Salad, Restaurants, Tapas/Small Plates, Latin American, Tapas Bars",Cleveland,2,4.2631578947368425,19
1FRf6pdx7AtI6HZXIlAZWA,Sunset Grill,American (New),"Restaurants, American (New)",Cleveland,1,3.5,14
Sb2a5N9gSLICYkMVSjszsA,Wolfgang Puck Express,American (New),"American (New), Restaurants, Pizza",Cleveland,2,3.7857142857142856,14
bjbegGikWzSgeVsOJdE22g,Chili Peppers,Mexican,"Restaurants, Mexican",Cleveland,1,3.911764705882353,34
DYhGhT9bvsija74RVt8tCQ,Alex Bistro & Bar CLOSED,Nightlife,"Nightlife, Mediterranean, Bars, Restaurants",Cleveland,2,3.1666666666666665,6
E50mr3xobsahb77IBRwVTQ,Clifton Martini & Wine Bar,Bars,"Bars, Restaurants, Wine Bars, American (New), Tapas/Small Plates, Nightlife",Cleveland,2,3.6666666666666665,36
Yyag9ZHs0hZ7UIGFC04Vqw,Now That's Class Lounge,Arts & Entertainment,"Arts & Entertainment, Dive Bars, Nightlife, Music Venues, Breakfast & Brunch, Bars, Restaurants",Cleveland,1,4.3076923076923075,26
06DxO1hUPQJmtUzIbVNKwQ,Popeyes Louisiana Kitchen,American (Traditional),"American (Traditional), Fast Food, Restaurants, Chicken Wings, Chicken Shop",Cleveland,1,2.125,8
97V91GSG-OQvrvOc9GXoGA,Phusion Cafe,Chinese,"Restaurants, Chinese, Taiwanese, Asian Fusion",Cleveland,1,4.052631578947368,38
7-K3HAcYkS92V0tdgmM2_A,Cedarland Express,Lebanese,"Lebanese, Specialty Food, Restaurants, Middle Eastern, Ethnic Food, Food, Imported Food",Cleveland,1,3.5,6
DjF7FY3KU1MFE6l9W2A3cA,Souper Market,Salad,"Restaurants, Salad, Vegetarian, Soup",Cleveland,1,4.270833333333333,48
G9UlT-mBMdUwoUGCW405ow,Lago,Italian,"Italian, Restaurants",Cleveland,2,4.107142857142857,28
d9sv7fexFJiChG9Xl0SP-A,Hot Sauce Williams Barbecue Restaurant,Barbeque,"Barbeque, Soul Food, Restaurants",Cleveland,1,2.5833333333333335,12
OiS6K4IvKwxIcWlKVywG_w,The Red Chimney,American (Traditional),"American (Traditional), Modern European, Breakfast & Brunch, Restaurants",Cleveland,1,4.181818181818182,11
IPF4KcnNTuITlyiaSooD4w,Tommy's Fairview Tavern,Nightlife,"Nightlife, Pubs, American (Traditional), Bars, Restaurants, Karaoke",Cleveland,2,3.5,18
VH2BjFjc9usDquDgoHhptA,Barrio,Food,"Restaurants, Food, Breakfast & Brunch, Desserts, Mexican",Cleveland,2,4.037037037037037,81
KfiSiJZ73oO0TyJSsu851g,Bon Vivant,Cafes,"Restaurants, Cafes, Nightlife, Bars, Diners",Cleveland,2,3.6666666666666665,18
JkQSLe_rBftbTJdZuQFlSw,Chinato,Italian,"Restaurants, Italian",Cleveland,3,3.984848484848485,132
r3lT2Qd80FXBoJKaVGY1Vw,Al's Deli,Middle Eastern,"Middle Eastern, Restaurants, Delis, Sandwiches",Cleveland,1,4.0,15
bsme1TUoEQt5EDF7O6HBrg,Dragon Light,Chinese,"Restaurants, Chinese",Cleveland,1,4.0,5
7tiobQOY3WLYYJl4uMEfrQ,Brickstone,American (Traditional),"American (Traditional), Sandwiches, Pizza, Restaurants",Cleveland,2,2.8333333333333335,6
XYQx_ADdAYwfUEgN7eGmQA,Asian Grille,Thai,"Restaurants, Thai",Cleveland,2,3.823529411764706,17
jjBTBObnHrY87qQIMybjzQ,Blue Jade,Chinese,"Restaurants, Chinese",Cleveland,1,3.7142857142857144,7
vBMAdtlABJ1qb1ryaeOugA,Potbelly Sandwich Shop,Delis,"Delis, Salad, Restaurants, Soup, Sandwiches, Fast Food",Cleveland,1,3.5714285714285716,21
8hwbcCNUv345Kw1xfOCcWg,Brown Derby,Steakhouses,"Steakhouses, Nightlife, Wine Bars, Bars, Restaurants",Cleveland,2,3.0833333333333335,12
M4RwZL5bTBTwwbVcoaDbtw,Rowley Inn,Beer,"Beer, Wine & Spirits, Burgers, Bars, American (Traditional), Nightlife, Food, Restaurants, Karaoke, Dive Bars, Comfort Food, Sandwiches",Cleveland,1,4.588235294117647,17
OzRGWW5R05kC0pQyUHX3lg,Guarino's Restaurant,American (New),"American (New), Party & Event Planning, Restaurants, Italian, Event Planning & Services",Cleveland,2,3.16,25
Sja9RHq7FpwDcmfzbGfIxQ,Moriarty's Pub,Pubs,"Pubs, Restaurants, Irish, Nightlife, Bars",Cleveland,1,3.5,8
ZxYPXtZQ-6DFyl4VQkTELQ,Washington Place Bistro,American (New),"American (New), Hotels & Travel, Hotels, Restaurants, Food, Desserts, Event Planning & Services",Cleveland,2,4.1645569620253164,79
zH3HFpkJZ9EmWMRhw1oypA,Superior Restaurant,Sandwiches,"Sandwiches, Delis, Restaurants",Cleveland,2,4.071428571428571,14
ddlnpDxGDDxGGoG_dVXwiw,Felice,Cafes,"Cafes, Bars, American (New), Desserts, Restaurants, Italian, Nightlife, Food",Cleveland,2,3.9571428571428573,70
BLfCMa2yWNo70D3wwAxwow,Grovewood Tavern and Wine Bar,Caterers,"Restaurants, Caterers, American (New), Nightlife, Wine Bars, American (Traditional), Bars, Event Planning & Services",Cleveland,2,4.142857142857143,56
ohIzA0mZOtS6_9q_pJYKrg,Alesci's of South Euclid,Food,"Food, Grocery, Event Planning & Services, Restaurants, Caterers, Delis",Cleveland,2,4.2,15
j4170xdQJTwSvXFpsQzWtg,Rincón Criollo,Caribbean,"Caribbean, Breakfast & Brunch, Puerto Rican, Restaurants, Latin American, Mexican",Cleveland,1,3.3666666666666667,30
B6nhGEqt6rzXw6TwltTspA,PIZZAFIRE,Pizza,"Pizza, Salad, Restaurants",Cleveland,1,3.6666666666666665,36
KWnLw61n0v4plYLhmD4v7w,Foundation Room,Nightlife,"Nightlife, Music Venues, American (New), Lounges, Restaurants, Dance Clubs, Arts & Entertainment, Bars",Cleveland,3,3.875,8
ToHKLIjR05Rz9boWvmWaPA,Corner Alley,Bowling,"Restaurants, Bowling, American (Traditional), Sports Bars, Nightlife, Bars, American (New), Active Life",Cleveland,2,3.3333333333333335,57
KhtmCNHqCH6cnxirsenndA,Fisher's Tavern,American (Traditional),"American (Traditional), Restaurants",Cleveland,2,3.3333333333333335,6
9JUynLfWPwe1X9gsJS6FTA,Cleveland Chop,Seafood,"Seafood, Steakhouses, American (New), Nightlife, Bars, Restaurants",Cleveland,2,3.5316455696202533,79
cUwNW5NEua_yMcAx-X2sMg,Grumpy's Cafe,American (Traditional),"American (Traditional), Caterers, Breakfast & Brunch, Salad, Event Planning & Services, Restaurants",Cleveland,2,3.5121951219512195,123
tNJgmbODR-N0qdPGy4Vsrw,El Jalapeños,Mexican,"Restaurants, Mexican",Cleveland,2,3.4827586206896552,58
4s-eHLQcoMqAgfzbiQsKIw,Rascal House,Food,"Food, Pizza, Restaurants",Cleveland,1,2.875,8
USRXU4ASBAFSKhlk-KVrCw,Bo Loong,Chinese,"Restaurants, Chinese",Cleveland,2,2.9743589743589745,39
uTKrt3rE4xgYyuiOtRWDvw,Dagwood Sandwich Shop,Sandwiches,"Sandwiches, Restaurants",Cleveland,1,4.0,10
pGu7YwnkIueer-3r3pkQdg,Rascal House,Breakfast & Brunch,"Breakfast & Brunch, Pizza, Sandwiches, Chicken Wings, Food, Food Delivery Services, Restaurants, Fast Food",Cleveland,1,3.7777777777777777,9
WvunDFSs2hJrPHVFqB6Y1w,Brothers Pizza,Mexican,"Mexican, Couriers & Delivery Services, American (New), Pizza, Food Delivery Services, Fast Food, Restaurants, Food, Local Services",Cleveland,1,3.6363636363636362,11
ebgu1HjoE5S45U7oKyq4sw,Tick Tock Tavern,American (Traditional),"American (Traditional), Chicken Wings, Barbeque, Nightlife, Bars, Diners, Pubs, Greek, Restaurants, Dive Bars",Cleveland,1,3.409090909090909,22
uYl_QBtb7bXhu9sgb4kCrg,ABC the Tavern,Event Planning & Services,"Event Planning & Services, Food, Nightlife, Caterers, Bars, American (Traditional), Beer, Wine & Spirits, Restaurants",Cleveland,1,3.4444444444444446,36
V2sxcWosKBDwxZQ3J7unOQ,Porcelli's Italian Bistro,Italian,"Italian, Restaurants",Cleveland,2,3.2941176470588234,17
EVfJbLXSMZOF8K3vFOaLOw,Rockne's,Burgers,"Burgers, American (Traditional), Restaurants",Cleveland,2,3.25,20
nBmpmc4R7LP8HjII7DJgkA,Bounce Cleveland,American (Traditional),"American (Traditional), Bars, Nightlife, Restaurants, Gay Bars",Cleveland,2,3.1666666666666665,12
mLjDh0vQYBCY6g9T1HczVw,Great Lakes Brewing Co.,Bars,"Restaurants, Bars, Pubs, American (Traditional), Nightlife",Cleveland,2,3.8,25
loXkZgAd70KMjP8ISCnZPQ,China Express,Chinese,"Restaurants, Chinese",Cleveland,2,4.0,5
iIe6PLxsZDVyrKf4ziKxyw,Ontario Street Cafe,Cafes,"Restaurants, Cafes, American (Traditional), Bars, Sandwiches, Nightlife",Cleveland,1,4.3478260869565215,23
dQwjYLmQXb06CpMPIpm5-g,Villa Y Zapata,Mexican,"Mexican, Restaurants",Cleveland,2,4.2727272727272725,33
_wpUUDnJwrn7eSYAjnv7WA,Brothers Lounge,Nightlife,"Nightlife, Restaurants, Bars, Jazz & Blues, Arts & Entertainment, Lounges, Music Venues",Cleveland,2,4.129032258064516,31
vdloJPM3bSpQTMlwdFek2A,Butcher and the Brewer,Breweries,"Breweries, Nightlife, Pubs, American (New), Food, Restaurants, Bars, Beer, Wine & Spirits",Cleveland,2,3.857142857142857,112
QUjJmpTQvGus8WfYq1dtOw,Battiste & Dupree Cajun Grill,Cajun/Creole,"Cajun/Creole, Restaurants, Sandwiches, Seafood",Cleveland,2,4.133333333333334,30
lfdiEgr4xbbn6waskIZj4A,Pounders Bar & Grill,American (Traditional),"American (Traditional), Beer, Wine & Spirits, Restaurants, Chicken Wings, Sports Bars, Food, Bars, Nightlife",Cleveland,1,4.142857142857143,14
JBt7b3Z9of23xuz3_uIq3Q,Beet Jar Juicebar & Takeaway,Food,"Food, Restaurants, Sandwiches, Juice Bars & Smoothies",Cleveland,2,4.523809523809524,42
j6JAY0KpNCVgOmq9G6MZuA,Little Italy's Feast of the Assumption,Local Flavor,"Local Flavor, Italian, Festivals, Arts & Entertainment, Restaurants",Cleveland,2,3.5,10
EP1do6l8hLyIGEru0gN3EQ,Johnny Mango World Cafe & Bar,Vegetarian,"Vegetarian, Caribbean, American (New), Restaurants",Cleveland,2,3.748148148148148,135
TnO9SmZoRNfJlbNV1wBKYw,Red Lantern Kitchen & Bar,Gastropubs,"Gastropubs, Restaurants",Cleveland,2,3.323529411764706,34
_PUGXxBeY2Z9OOosFS056w,Tavern Of Little Italy,Nightlife,"Restaurants, Nightlife, Burgers, Breakfast & Brunch, American (New), Bars",Cleveland,2,3.5714285714285716,14
2L0I4w2_32aVJq-IzhZSig,Restore Cold Pressed,Juice Bars & Smoothies,"Juice Bars & Smoothies, Cafes, Food, Restaurants",Cleveland,2,4.65625,32
yhxv_FcPrWQglM0g0DSEwQ,Touch Supper Truck,Food Stands,"Food Stands, Restaurants, Street Vendors, Food, American (New)",Cleveland,1,4.5,10
UXXAzmuz2olKSpte9eF4Vw,Moncho's Bar & Grill,Colombian,"Restaurants, Colombian, Latin American, Tapas Bars, Seafood",Cleveland,2,3.5384615384615383,13
jhCcZgDhPh5oiPgOXYTkrg,Best Gyros,Mediterranean,"Mediterranean, Greek, Restaurants, Sandwiches",Cleveland,1,3.8,25
AsVR-X40wAzI7z7oRpsbTA,Cuisine Du Cambodge,Cambodian,"Cambodian, Thai, Vietnamese, Restaurants",Cleveland,1,4.373134328358209,67
WG3zvUktE1l3llwq3PPVVg,Nate's Deli & Restaurant,Middle Eastern,"Middle Eastern, Restaurants, Delis",Cleveland,1,4.4035087719298245,57
K74HYkFjYwhEpJt8HTOxnQ,Johnny's Bar,Italian,"Restaurants, Italian",Cleveland,3,4.217391304347826,23
nfnr1RP2VjV6K_OkbX6avQ,Fish Shack And Grill,Spanish,"Spanish, Seafood, Barbeque, Restaurants",Cleveland,2,4.0,7
4P3zCFzQ1tT_7PLD73gMvQ,Back Stage Bar,Bars,"Bars, Restaurants, American (Traditional), Nightlife",Cleveland,2,4.0,9
jmTirQw-n4V_Z4g1-RE9iw,Kung Fu Tea,Food,"Restaurants, Food, Bubble Tea, Juice Bars & Smoothies, Japanese, Coffee & Tea",Cleveland,1,4.631578947368421,19
L4xtiJPS_VSbmBxTfOwjCQ,A Cookie & A Cupcake Boutique,Cupcakes,"Cupcakes, Bakeries, Food, Gluten-Free, Restaurants",Cleveland,1,4.5,14
Z0c9-Eoxz7SQ__68bl3TQw,Nora,Food,"Food, Italian, Restaurants, Desserts, Salad",Cleveland,2,4.1875,16
DUOrYFyHiJ27yOtTgCw0HA,Vino Veritas Little Italy,Bars,"Bars, Nightlife, Food, Beer, Wine & Spirits, Wineries, Wine Bars, Lounges, Restaurants, Jazz & Blues, Arts & Entertainment, Cafes",Cleveland,2,4.090909090909091,11
Pj0rFqv0EcdNdlpnRvLZBg,Callaloo Café and Bar,Nightlife,"Restaurants, Nightlife, Vegetarian, Bars, Caribbean, Trinidadian",Cleveland,1,4.0,10
myorOrDcPgwYwNXcFs0qBQ,Steve's Lunch,Hot Dogs,"Restaurants, Hot Dogs",Cleveland,1,4.083333333333333,24
ugPCIr4fZXtuHbC6xNctaA,Mom's Family Restaurant,Breakfast & Brunch,"Breakfast & Brunch, Restaurants, American (Traditional), Soup, American (New)",Cleveland,1,3.7142857142857144,7
ZJWKb-ooSCPUjZLeWD-p_A,Rubin's Family Restaurant & Deli,Delis,"Delis, American (Traditional), Restaurants",Cleveland,1,3.3,20
jmeDvVx3wzCBlTBN7XNb-Q,Alley Cat Oyster Bar,American (New),"American (New), Seafood, Restaurants",Cleveland,3,3.6736842105263157,95
dOIUk3wm8LU8-FUpCKa1eg,Karl's Inn Of The Barristers,Sandwiches,"Sandwiches, Restaurants, Pubs, American (New), Nightlife, Bars",Cleveland,2,3.357142857142857,14
KXqOT3vyx8Ao7com4yST-g,Chapati Indian Grill,Indian,"Indian, Restaurants",Cleveland,1,2.75,8
hSU3MbB9Yu8MlybxfmABeg,Maxi's,Italian,"Restaurants, Italian, Pizza",Cleveland,2,3.6610169491525424,59
H3cMcV9KK3g2pi68lDNsng,Luxe Kitchen & Lounge,Italian,"Italian, Tapas Bars, Mediterranean, Lounges, Bars, Nightlife, Restaurants, Vegan, American (New), Vegetarian",Cleveland,2,3.869565217391304,138
ZUvAR3I1uhC27zQFcRXumw,Dina's Pizza & Pub,Bars,"Bars, Nightlife, Burgers, Pizza, Restaurants, Sports Bars",Cleveland,2,3.6136363636363638,44
T-_xEyoDPAKV-I6iQlbKWA,McDonald's,Fast Food,"Fast Food, Burgers, Restaurants",Cleveland,1,1.7777777777777777,9
NDfcum0Zpa2o9czVgRds9w,Steak 'n Shake,Breakfast & Brunch,"Restaurants, Breakfast & Brunch, Burgers, American (New), Fast Food",Cleveland,1,2.25,8
wnyMhlR5KCWkTCzQ1_gOUQ,Mi Pueblo Taqueria,Mexican,"Restaurants, Mexican",Cleveland,2,4.016393442622951,61
iJpmIt-i9-VeChouLcPXbA,Arrabiata's Italian Restaurant,Italian,"Restaurants, Italian",Cleveland,2,3.6363636363636362,11
Bl8_M_kDXZt_zsrLRgDulA,Al & B's Barbeque,Barbeque,"Restaurants, Barbeque",Cleveland,1,4.222222222222222,9
PXJH9H6fJslcNYHnVTgFCQ,Popeyes Louisiana Kitchen,Fast Food,"Fast Food, Restaurants, Chicken Wings, American (Traditional), Southern",Cleveland,1,3.75,8
dC6OXF_4Bd9nDOSRc8VTGw,J. B. Mack Macaroni & Cheese Kitchen,Comfort Food,"Restaurants, Comfort Food",Cleveland,1,2.5,8
1SJiW_mW6IlEe7hqMTnjYg,China Wok,Chinese,"Restaurants, Chinese",Cleveland,1,3.7142857142857144,7
KJuWKVel8fO37UTtXkpZ_w,The Clubhouse,Salad,"Restaurants, Salad, Bars, Nightlife, Lounges, Modern European, Pubs",Cleveland,2,3.6666666666666665,9
r6o9Fi0rHCB3f1mEGdL61A,Presto Sandwiches,Sandwiches,"Restaurants, Sandwiches",Cleveland,1,4.416666666666667,12
nqiTujxNtEpA8dPATEQRrg,Table 45,Sushi Bars,"Sushi Bars, Bars, Lounges, American (New), Restaurants, Nightlife",Cleveland,3,3.0,42
u1qzJu0JwbKU-HjIFjq8kw,Dewey's Coffee House,Bagels,"Bagels, Ice Cream & Frozen Yogurt, Restaurants, Sandwiches, Coffee & Tea, Food",Cleveland,1,4.03125,32
Vv7aXgWg2TEXfrfE_-FFrA,Papa Joe's Subs & Pasta,Sandwiches,"Sandwiches, Italian, Cheesesteaks, Restaurants",Cleveland,1,4.1,10
t2O4Qx74U_IfBzDHJzvUCA,Urban Farmer,American (Traditional),"American (Traditional), Restaurants, American (New), Steakhouses",Cleveland,2,3.970873786407767,103
GCr0eTVnVzFE72c-VJezoQ,Angelo's Nido Italia,Italian,"Restaurants, Italian",Cleveland,2,3.619047619047619,21
pW-fOxuaWBkIhum5NANx2w,China Sea Express,Chinese,"Restaurants, Chinese",Cleveland,1,2.9,10
ZspvlO5Dvtd517YhVLJJ_A,Tomo Sushi & Hibachi,Steakhouses,"Steakhouses, Restaurants, Japanese, Sushi Bars",Cleveland,2,2.693877551020408,49
hcrjdLHf8UlR-D1-rTEkfw,Open Pitt Barb-B-Que,Barbeque,"Barbeque, Restaurants, Soul Food",Cleveland,1,4.363636363636363,11
9bxcpud3GREFOxKY2cbheA,Verso Casual Italian Bistro and Pizzeria,Pizza,"Pizza, Italian, Restaurants",Cleveland,2,3.875,16
bfF90MspMbqLWdcEU9JLcg,Wild Ginger China Bistro,Chinese,"Restaurants, Chinese",Cleveland,2,2.909090909090909,22
pWyhmTVRNw6hix3J__SqvQ,Hotspot Cafe,Sandwiches,"Sandwiches, Burgers, Breakfast & Brunch, Cafes, Restaurants, American (New)",Cleveland,1,3.8275862068965516,29
S_02VqM-sXAY9kDhvGxXtw,Five Guys,Burgers,"Restaurants, Burgers, American (New), Fast Food",Cleveland,1,3.6,10
NVC1MFGTobWxYcuo_z7BGQ,Etna Restaurant & Wine Bar,Nightlife,"Nightlife, Wine Bars, Seafood, Bars, Restaurants, Italian",Cleveland,2,3.9166666666666665,12
CbsS6VvPsIvpytUbLAu71Q,Oriental Palace Buffet,Chinese,"Chinese, Restaurants, Buffets",Cleveland,1,2.875,16
Vc8sXKEdO9yVxbRlwBFHKQ,China Sea,Chinese,"Restaurants, Chinese",Cleveland,1,2.3333333333333335,12
aiU0FRtHTIHBWMYapw79LA,The Reddstone,Pubs,"Pubs, American (New), Nightlife, Bars, Restaurants",Cleveland,2,3.0508474576271185,59
CDqPVVvQtVncNQGydnZy7A,Beachland Ballroom and Tavern,Bars,"Bars, Restaurants, Music Venues, Breakfast & Brunch, Dive Bars, Arts & Entertainment, Nightlife",Cleveland,1,4.323943661971831,71
DZBAkVf8HU4U4ZQ_yKECBQ,Giovanni's Meats & Deli,Food,"Food, Specialty Food, Restaurants, Meat Shops, Local Services, Knife Sharpening, Delis",Cleveland,1,4.75,8
vBZ0cwtWKUN4t6sFCpSFCw,Thai Origin,Thai,"Restaurants, Thai",Cleveland,2,3.0,18
9_0FtoabuC42T7AWDk5_sA,Algebra Tea House,Coffee & Tea,"Restaurants, Coffee & Tea, Tea Rooms, Food, Cafes",Cleveland,1,4.238095238095238,63
-dFfucHmOtgDmDneps-mgA,Mallorca,Seafood,"Seafood, Portuguese, Spanish, Restaurants",Cleveland,3,3.1298701298701297,77
F6FYo3IpVwvAJ04kcwEh_w,Brooklyn Barbeque,American (Traditional),"Restaurants, American (Traditional), Soul Food, Barbeque",Cleveland,2,3.8461538461538463,13
vybX7mQJLYm6HP1vRxZBDQ,Ugly Broad Tavern,Bars,"Bars, American (Traditional), Nightlife, Restaurants, Dive Bars",Cleveland,1,4.333333333333333,6
xzQzJTu47vNCYlpB8jdMaw,George's  Kitchen,Comfort Food,"Comfort Food, Diners, Restaurants",Cleveland,1,4.370967741935484,62
N5nB7bt89WYvobTGIP1vPA,Empress Taytu Ethiopian Restaurant,Vegetarian,"Vegetarian, Specialty Food, Ethnic Food, Ethiopian, Restaurants, Vegan, Food, Gluten-Free",Cleveland,2,3.869565217391304,46
eZo_WH35_ugK6kqcF0M2Ig,Bob Golic's Sports Bar And Grille,Nightlife,"Restaurants, Nightlife, Bars, American (Traditional), Sports Bars",Cleveland,1,1.8571428571428572,7
v4PsaviYCaSaFIejGszMvg,Kabob House,Middle Eastern,"Middle Eastern, Restaurants",Cleveland,1,4.416666666666667,12
KUAI4xdaC3BJmkpT22KIVQ,ENCORE Rock Bar & Grill,Burgers,"Burgers, Restaurants, American (Traditional), Nightlife, Bars",Cleveland,1,3.75,4
caYlxQ7kaYcUZwcqJKNyoA,Caribe Bake Shop,Food,"Restaurants, Food, Bakeries, Latin American",Cleveland,1,4.25,24
F6a-o0Ig1iSVamX1LbdDEg,Pho 99,Vietnamese,"Vietnamese, Restaurants",Cleveland,1,3.888888888888889,18
4qCYRklxSuTdN2z6dC2KeQ,5th Avenue Deli & Grill,Middle Eastern,"Middle Eastern, Delis, Breakfast & Brunch, Restaurants",Cleveland,2,3.7142857142857144,21
CpUfCSFoTNlZRzzz5U9V0w,Mexican Village Restaurant,Mexican,"Mexican, Restaurants",Cleveland,2,2.4285714285714284,7
68kpmZBEb6x7wG1HBeLQ3g,J. Gumbo's,Cajun/Creole,"Restaurants, Cajun/Creole",Cleveland,1,4.171428571428572,35
p8p6xfFWbxN070r5qt32Rw,Barristers Deli,Sandwiches,"Restaurants, Sandwiches, Delis, American (New), Burgers, Event Planning & Services, Caterers",Cleveland,1,4.0,4
J-3u7M186SmAoC1l0ViEFw,Penn Station,Burgers,"Burgers, Restaurants",Cleveland,1,2.8333333333333335,6
ZedwJdX1jQ7Hw1CzU3VDLw,La Pizzeria,Gelato,"Gelato, Restaurants, Pizza, Food",Cleveland,2,3.5384615384615383,13
lxU5_YEsvMsn1k7Ol-i3xQ,Sam Sylk's Chicken And Fish,Chicken Wings,"Restaurants, Chicken Wings, Seafood, American (Traditional)",Cleveland,1,2.25,4
I2lDmQHDxnUKbEBJuJCW6w,Hunan East,Chinese,"Restaurants, Chinese",Cleveland,2,3.5,24
GIfZNMP0oIJCje_Xp0Bgrw,The Greenhouse Tavern,Breakfast & Brunch,"Breakfast & Brunch, Gastropubs, American (New), Restaurants",Cleveland,3,3.7533333333333334,300
tIby_wfzpZ5QH02IWFNogg,China Sea by CSU,Food,"Food, Social Clubs, Chinese, Taiwanese, Arts & Entertainment, Restaurants, Bubble Tea",Cleveland,1,4.071428571428571,14
UoRSHohdGuzfrpydZ9j0Lg,Luchita's Mexican Restaurant,Mexican,"Mexican, Restaurants, Latin American",Cleveland,2,3.404255319148936,47
ZPAkg2phFo_p3U-QjvHVPw,Mama Santa's,Pizza,"Pizza, Salad, Restaurants, Italian, Sandwiches",Cleveland,2,3.053763440860215,93
Rt7gjrTceO86sCtnS8Td0g,Green Rooster Farms,Sandwiches,"Restaurants, Sandwiches",Cleveland,1,4.052631578947368,19
nv1XdkWviHXO7N6mK8O1yg,Don's Lighthouse,Seafood,"Restaurants, Seafood, Steakhouses, American (New)",Cleveland,2,3.727272727272727,55
i5A6Bb9SpaYb3_Yr40Pk2g,Taste of China,Chinese,"Restaurants, Chinese",Cleveland,2,4.5,4
dmu1wM0CRgeoTIUXFihU7Q,QDOBA Mexican Eats,Event Planning & Services,"Restaurants, Event Planning & Services, Mexican, Caterers, Fast Food",Cleveland,1,3.15,20
uziDWXfTvCYlbQYrJT0iAQ,Yours Truly Restaurant,Gluten-Free,"Gluten-Free, American (Traditional), Restaurants",Cleveland,2,4.222222222222222,9
